"","Label","Category","RiverKM","Percent","RiverMI","cols"
"36","Inventoried Roadless Area","Multiple use landscapes/riverscapes (special management)",131316.70696,2.48,81596.3935204421,"#4D4D4D"
"37","Area Of Critical Environmental Concern","Multiple use landscapes/riverscapes (special management)",46789.64489,0.88,29073.7284349442,"#4D4D4D"
"38","National Forest","Multiple use landscapes/riverscapes",349916.68967,6.61,217428.083376938,"grey"
"39","State Resource Management Area","Multiple use landscapes/riverscapes",96018.23734,1.81,59662.9481541931,"grey"
"40","Conservation Easement","Multiple use landscapes/riverscapes",19595.59603,0.37,12176.1351007571,"grey"
"41","National Grassland","Multiple use landscapes/riverscapes",12847.70738,0.24,7983.19278241798,"grey"
"42","State Conservation Area","Multiple use landscapes/riverscapes",10894.60477,0.21,6769.59146053967,"grey"
"43","Local Conservation Area","Multiple use landscapes/riverscapes",7741.91058,0.15,4810.59871900518,"grey"
"44","Forest Stewardship Easement","Multiple use landscapes/riverscapes",4640.78192,0.09,2883.64730241232,"grey"
"45","Resource Management Area","Multiple use landscapes/riverscapes",4927.42986,0.09,3061.76201953806,"grey"
"46","State Park","Multiple use landscapes/riverscapes",4415.29627,0.08,2743.53705858617,"grey"
"47","National Recreation Area","Multiple use landscapes/riverscapes",3847.91777,0.07,2390.98451266267,"grey"
"48","Private Conservation","Multiple use landscapes/riverscapes",3375.57152,0.06,2097.48225095392,"grey"
"49","Watershed Protection Area","Multiple use landscapes/riverscapes",3153.74543,0.06,1959.64595158453,"grey"
"50","Local Park","Multiple use landscapes/riverscapes",2653.27302,0.05,1648.66690971042,"grey"
"51","Ranch Easement","Multiple use landscapes/riverscapes",2410.89698,0.05,1498.06146735958,"grey"
"52","Conservation Area","Multiple use landscapes/riverscapes",1428.47325,0.03,887.61185182575,"grey"
"53","Local Resource Management Area","Multiple use landscapes/riverscapes",1390.42785,0.03,863.97154358235,"grey"
"54","Local Recreation Area","Multiple use landscapes/riverscapes",1010.9559,0.02,628.1786785389,"grey"
"55","State Recreation Area","Multiple use landscapes/riverscapes",964.20576,0.02,599.12949729696,"grey"
"56","Mitigation Land Or Bank","Multiple use landscapes/riverscapes",300.10848,0.01,186.47870632608,"grey"
"57","National River","Multiple use landscapes/riverscapes",483.26163,0.01,300.28476229473,"grey"
"58","National River And Recreation Area","Multiple use landscapes/riverscapes",475.73134,0.01,295.60565846714,"grey"
"59","Other","Multiple use landscapes/riverscapes",378.45744,0.01,235.16247795024,"grey"
"60","Recreation Management Area","Multiple use landscapes/riverscapes",693.85009,0.01,431.13832427339,"grey"
"61","Special Designation Area","Multiple use landscapes/riverscapes",647.11584,0.01,402.09901661664,"grey"
"62","National Scenic Area","Multiple use landscapes/riverscapes",192.33666,0,119.51242276086,"grey"
"63","National Wildlife Refuge","Multiple use landscapes/riverscapes",182.10652,0,113.15571043892,"grey"
